traditional,simplified,referenced-traditional,referenced-simplified,pinyin-numeric,pinyin-diacritic,definitions,definitions-diacritic
倏,倏,倏,倏,shu1,shū,sudden/abrupt/Taiwan pr. [shu4],sudden/abrupt/Taiwan pr. [shù]
倐,倏,倐,倏,shu1,shū,variant of 倏[shu1],variant of 倏[shū]
倫,伦,倫,伦,lun2,lún,human relationship/order/coherence,human relationship/order/coherence
側,侧,側,侧,ce4,cè,the side/to incline towards/to lean/inclined/lateral/side,the side/to incline towards/to lean/inclined/lateral/side
側,侧,側,侧,zhai1,zhāi,lean on one side,lean on one side
傑,杰,傑,杰,jie2,jié,hero/heroic/outstanding person/prominent/distinguished,hero/heroic/outstanding person/prominent/distinguished
備,备,備,备,bei4,bèi,to prepare/get ready/to provide or equip,to prepare/get ready/to provide or equip
傢,家,傢,家,jia1,jiā,see 傢伙|家伙[jia1 huo5],see 傢伙|家伙[jiā huo]
傷,伤,傷,伤,shang1,shāng,to injure/injury/wound,to injure/injury/wound
傾,倾,傾,倾,qing1,qīng,to overturn/to collapse/to lean/to tend/to incline/to pour out,to overturn/to collapse/to lean/to tend/to incline/to pour out
儀,仪,儀,仪,yi2,yí,apparatus/rites/appearance/present/ceremony,apparatus/rites/appearance/present/ceremony
儵,倏,儵,倏,shu1,shū,variant of 倏[shu1],variant of 倏[shū]
元,元,元,元,Yuan2,Yuán,surname Yuan/the Yuan or Mongol dynasty (1279-1368),surname Yuan/the Yuan or Mongol dynasty (1279-1368)
元,元,元,元,yuan2,yuán,currency unit (esp. Chinese yuan)/first/original/primary/fundamental/constituent/part/era (of a reign)/meta- (prefix)/(math.) argument/variable/(Tw) (geology) eon,currency unit (esp. Chinese yuan)/first/original/primary/fundamental/constituent/part/era (of a reign)/meta- (prefix)/(math.) argument/variable/(Tw) (geology) eon
充,充,充,充,chong1,chōng,to fill/to satisfy/to fulfill/to act in place of/substitute/sufficient/full,to fill/to satisfy/to fulfill/to act in place of/substitute/sufficient/full
兇,凶,兇,凶,xiong1,xiōng,terrible/fearful,terrible/fearful
光,光,光,光,guang1,guāng,light/ray/CL:道[dao4]/bright/only/merely/to use up,light/ray/CL:道[dào]/bright/only/merely/to use up
其,其,其,其,qi2,qí,his/her/its/their/that/such/it (refers to sth preceding it),his/her/its/their/that/such/it (refers to sth preceding it)
兼,兼,兼,兼,jian1,jiān,double/twice/simultaneous/holding two or more (official) posts at the same time,double/twice/simultaneous/holding two or more (official) posts at the same time
冤,冤,冤,冤,yuan1,yuān,injustice/grievance/wrong,injustice/grievance/wrong
冶,冶,冶,冶,ye3,yě,to smelt/to cast/seductive in appearance,to smelt/to cast/seductive in appearance
凋,凋,凋,凋,diao1,diāo,withered,withered
凶,凶,凶,凶,xiong1,xiōng,vicious/fierce/ominous/inauspicious/famine/variant of 兇|凶[xiong1],vicious/fierce/ominous/inauspicious/famine/variant of 兇|凶[xiōng]
分,分,分,分,fen1,fēn,to divide/to separate/to distribute/to allocate/to distinguish (good and bad)/part or subdivision/fraction/one tenth (of certain units)/unit of length equivalent to 0.33 cm/minute (unit of time)/minute (angular measurement unit)/a point (in sports or games)/0.01 yuan (unit of money),to divide/to separate/to distribute/to allocate/to distinguish (good and bad)/part or subdivision/fraction/one tenth (of certain units)/unit of length equivalent to 0.33 cm/minute (unit of time)/minute (angular measurement unit)/a point (in sports or games)/0.01 yuan (unit of money)
分,分,分,分,fen4,fèn,part/share/ingredient/component,part/share/ingredient/component
別,别,別,别,Bie2,Bié,surname Bie,surname Bie
別,别,別,别,bie2,bié,to leave/to depart/to separate/to distinguish/to classify/other/another/don't ...!/to pin/to stick (sth) in,to leave/to depart/to separate/to distinguish/to classify/other/another/don't ...!/to pin/to stick (sth) in
剛,刚,剛,刚,gang1,gāng,hard/firm/strong/just/barely/exactly,hard/firm/strong/just/barely/exactly
加,加,加,加,Jia1,Jiā,abbr. for Canada 加拿大[Jia1 na2 da4]/surname Jia,abbr. for Canada 加拿大[Jiā ná dà]/surname Jia
加,加,加,加,jia1,jiā,"to add/plus/(used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned)/to apply (restrictions etc) to (sb)/to give (support, consideration etc) to (sth)","to add/plus/(used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned)/to apply (restrictions etc) to (sb)/to give (support, consideration etc) to (sth)"
勞,劳,勞,劳,lao2,láo,to toil/labor/laborer/to put sb to trouble (of doing sth)/meritorious deed/to console (Taiwan pr. [lao4] for this sense),to toil/labor/laborer/to put sb to trouble (of doing sth)/meritorious deed/to console (Taiwan pr. [lào] for this sense)
勻,匀,勻,匀,yun2,yún,even/well-distributed/uniform/to distribute evenly/to share,even/well-distributed/uniform/to distribute evenly/to share
匹,匹,匹,匹,pi1,pī,mate/one of a pair,mate/one of a pair
匹,匹,匹,匹,pi3,pǐ,"classifier for horses, mules etc/Taiwan pr. [pi1]/ordinary person/classifier for cloth: bolt/horsepower","classifier for horses, mules etc/Taiwan pr. [pī]/ordinary person/classifier for cloth: bolt/horsepower"
南,南,南,南,Nan2,Nán,surname Nan,surname Nan
南,南,南,南,nan2,nán,south,south
危,危,危,危,Wei1,Wēi,surname Wei,surname Wei
危,危,危,危,wei1,wēi,danger/to endanger/Taiwan pr. [wei2],danger/to endanger/Taiwan pr. [wéi]
厲,厉,厲,厉,Li4,Lì,surname Li,surname Li
厲,厉,厲,厉,li4,lì,strict/severe,strict/severe
受,受,受,受,shou4,shòu,to receive/to accept/to suffer/subjected to/to bear/to stand/pleasant/(passive marker),to receive/to accept/to suffer/subjected to/to bear/to stand/pleasant/(passive marker)
只,只,只,只,zhi3,zhǐ,only/merely/just/but,only/merely/just/but
同,同,同,同,tong2,tóng,like/same/similar/together/alike/with,like/same/similar/together/alike/with
后,后,后,后,Hou4,Hòu,surname Hou,surname Hou
后,后,后,后,hou4,hòu,empress/queen,empress/queen
君,君,君,君,jun1,jūn,monarch/lord/gentleman/ruler,monarch/lord/gentleman/ruler
周,周,周,周,Zhou1,Zhōu,surname Zhou/Zhou Dynasty (1046-256 BC),surname Zhou/Zhou Dynasty (1046-256 BC)
周,周,周,周,zhou1,zhōu,to make a circuit/to circle/circle/circumference/lap/cycle/complete/all/all over/thorough/to help financially,to make a circuit/to circle/circle/circumference/lap/cycle/complete/all/all over/thorough/to help financially
咊,和,咊,和,he2,hé,old variant of 和[he2],old variant of 和[hé]
和,和,和,和,He2,Hé,"surname He/Japanese (food, clothes etc)","surname He/Japanese (food, clothes etc)"
和,和,和,和,he2,hé,"and/together with/with/sum/union/peace/harmony/Taiwan pr. [han4] when it means ""and"" or ""with""","and/together with/with/sum/union/peace/harmony/Taiwan pr. [hàn] when it means ""and"" or ""with"""
和,和,和,和,he4,hè,to compose a poem in reply (to sb's poem) using the same rhyme sequence/to join in the singing/to chime in with others,to compose a poem in reply (to sb's poem) using the same rhyme sequence/to join in the singing/to chime in with others
和,和,和,和,hu2,hú,to complete a set in mahjong or playing cards,to complete a set in mahjong or playing cards
和,和,和,和,huo2,huó,"to combine a powdery substance (flour, plaster etc) with water/Taiwan pr. [huo4]","to combine a powdery substance (flour, plaster etc) with water/Taiwan pr. [huò]"
和,和,和,和,huo4,huò,to mix (ingredients) together/to blend/classifier for rinses of clothes/classifier for boilings of medicinal herbs,to mix (ingredients) together/to blend/classifier for rinses of clothes/classifier for boilings of medicinal herbs
哀,哀,哀,哀,Ai1,Aī,"Ai (c. 2000 BC), sixth of legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, also known as Li 釐|厘[Li2]","Ai (c. 2000 BC), sixth of legendary Flame Emperors 炎帝[Yán dì] descended from Shennong 神農|神农[Shén nóng] Farmer God, also known as Li 釐|厘[Lí]"
哀,哀,哀,哀,ai1,āi,sorrow/grief/pity/to grieve for/to pity/to lament/to condole,sorrow/grief/pity/to grieve for/to pity/to lament/to condole
品,品,品,品,pin3,pǐn,article/commodity/product/goods/kind/grade/rank/character/disposition/nature/temperament/variety/to taste sth/to sample/to criticize/to comment/to judge/to size up/fret (on a guitar or lute),article/commodity/product/goods/kind/grade/rank/character/disposition/nature/temperament/variety/to taste sth/to sample/to criticize/to comment/to judge/to size up/fret (on a guitar or lute)
唐,唐,唐,唐,Tang2,Táng,Tang dynasty (618-907)/surname Tang,Tang dynasty (618-907)/surname Tang
唐,唐,唐,唐,tang2,táng,to exaggerate/empty/in vain/old variant of 螗[tang2],to exaggerate/empty/in vain/old variant of 螗[táng]
唸,念,唸,念,nian4,niàn,"variant of 念[nian4], to read aloud","variant of 念[niàn], to read aloud"
商,商,商,商,Shang1,Shāng,Shang Dynasty (c. 1600-1046 BC)/surname Shang,Shang Dynasty (c. 1600-1046 BC)/surname Shang
商,商,商,商,shang1,shāng,"commerce/merchant/dealer/to consult/2nd note in pentatonic scale/quotient (as in 智商[zhi4 shang1], intelligence quotient)","commerce/merchant/dealer/to consult/2nd note in pentatonic scale/quotient (as in 智商[zhì shāng], intelligence quotient)"
喪,丧,喪,丧,sang1,sāng,mourning/funeral/(old) corpse,mourning/funeral/(old) corpse
喪,丧,喪,丧,sang4,sàng,"to lose sth abstract but important (courage, authority, one's life etc)/to be bereaved of (one's spouse etc)/to die/disappointed/discouraged","to lose sth abstract but important (courage, authority, one's life etc)/to be bereaved of (one's spouse etc)/to die/disappointed/discouraged"
喬,乔,喬,乔,Qiao2,Qiáo,surname Qiao,surname Qiao
喬,乔,喬,乔,qiao2,qiáo,tall,tall
嗟,嗟,嗟,嗟,jie1,jiē,sigh/also pr. [jue1],sigh/also pr. [juē]
嘆,叹,嘆,叹,tan4,tàn,to sigh/to exclaim,to sigh/to exclaim
噹,当,噹,当,dang1,dāng,(onom.) dong/ding dong (bell),(onom.) dong/ding dong (bell)
囌,苏,囌,苏,su1,sū,see 囉囌|啰苏[luo1 su1],see 囉囌|啰苏[luō sū]
囙,因,囙,因,yin1,yīn,old variant of 因[yin1],old variant of 因[yīn]
因,因,因,因,yin1,yīn,cause/reason/because,cause/reason/because
圖,图,圖,图,tu2,tú,diagram/picture/drawing/chart/map/CL:張|张[zhang1]/to plan/to scheme/to attempt/to pursue/to seek,diagram/picture/drawing/chart/map/CL:張|张[zhāng]/to plan/to scheme/to attempt/to pursue/to seek
土,土,土,土,Tu3,Tǔ,Tu (ethnic group)/surname Tu,Tu (ethnic group)/surname Tu
土,土,土,土,tu3,tǔ,earth/dust/clay/local/indigenous/crude opium/unsophisticated/one of the eight ancient musical instruments 八音[ba1 yin1],earth/dust/clay/local/indigenous/crude opium/unsophisticated/one of the eight ancient musical instruments 八音[bā yīn]
在,在,在,在,zai4,zài,(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress),(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)
地,地,地,地,de5,de,"-ly/structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct","-ly/structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct"
地,地,地,地,di4,dì,earth/ground/field/place/land/CL:片[pian4],earth/ground/field/place/land/CL:片[piàn]
