traditional,simplified,referenced-traditional,referenced-simplified,pinyin-numeric,pinyin-diacritic,definitions,definitions-diacritic
根,根,根,根,gen1,gēn,"root/basis/classifier for long slender objects, e.g. cigarettes, guitar strings/CL:條|条[tiao2]/radical (chemistry)","root/basis/classifier for long slender objects, e.g. cigarettes, guitar strings/CL:條|条[tiáo]/radical (chemistry)"
桀,桀,桀,桀,jie2,jié,(emperor of Xia dynasty)/cruel,(emperor of Xia dynasty)/cruel
桃,桃,桃,桃,tao2,táo,peach,peach
桑,桑,桑,桑,Sang1,Sāng,surname Sang,surname Sang
桑,桑,桑,桑,sang1,sāng,mulberry tree,mulberry tree
桒,桑,桒,桑,sang1,sāng,old variant of 桑[sang1],old variant of 桑[sāng]
梁,梁,梁,梁,Liang2,Liáng,name of Kingdoms and Dynasties at different periods/surname Liang,name of Kingdoms and Dynasties at different periods/surname Liang
梁,梁,梁,梁,liang2,liáng,beam of roof/bridge,beam of roof/bridge
楚,楚,楚,楚,Chu3,Chǔ,surname Chu/abbr. for Hubei 湖北省[Hu2 bei3 Sheng3] and Hunan 湖南省[Hu2 nan2 Sheng3] provinces together/Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC),surname Chu/abbr. for Hubei 湖北省[Hú běi Shěng] and Hunan 湖南省[Hú nán Shěng] provinces together/Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC)
楚,楚,楚,楚,chu3,chǔ,distinct/clear/orderly/pain/suffering/deciduous bush used in Chinese medicine (genus Vitex)/punishment cane (old),distinct/clear/orderly/pain/suffering/deciduous bush used in Chinese medicine (genus Vitex)/punishment cane (old)
業,业,業,业,Ye4,Yè,surname Ye,surname Ye
業,业,業,业,ye4,yè,line of business/industry/occupation/job/employment/school studies/enterprise/property/(Buddhism) karma/deed/to engage in/already,line of business/industry/occupation/job/employment/school studies/enterprise/property/(Buddhism) karma/deed/to engage in/already
極,极,極,极,ji2,jí,"extremely/pole (geography, physics)/utmost/top","extremely/pole (geography, physics)/utmost/top"
榆,榆,榆,榆,yu2,yú,elm,elm
榮,荣,榮,荣,Rong2,Róng,surname Rong,surname Rong
榮,荣,榮,荣,rong2,róng,glory/honor/thriving,glory/honor/thriving
樊,樊,樊,樊,Fan2,Fán,surname Fan,surname Fan
樊,樊,樊,樊,fan2,fán,cage/fence,cage/fence
樑,梁,樑,梁,liang2,liáng,variant of 梁[liang2],variant of 梁[liáng]
欽,钦,欽,钦,Qin1,Qīn,surname Qin,surname Qin
欽,钦,欽,钦,qin1,qīn,to respect/to admire/to venerate/by the emperor himself,to respect/to admire/to venerate/by the emperor himself
歌,歌,歌,歌,ge1,gē,"song/CL:支[zhi1],首[shou3]/to sing","song/CL:支[zhī],首[shǒu]/to sing"
歎,叹,歎,叹,tan4,tàn,variant of 嘆|叹[tan4],variant of 嘆|叹[tàn]
歡,欢,歡,欢,huan1,huān,joyous/happy/pleased,joyous/happy/pleased
步,步,步,步,Bu4,Bù,surname Bu,surname Bu
步,步,步,步,bu4,bù,a step/a pace/walk/march/stages in a process/situation,a step/a pace/walk/march/stages in a process/situation
歲,岁,歲,岁,sui4,suì,classifier for years (of age)/year/year (of crop harvests),classifier for years (of age)/year/year (of crop harvests)
歸,归,歸,归,Gui1,Guī,surname Gui,surname Gui
歸,归,歸,归,gui1,guī,to return/to go back to/to give back to/(of a responsibility) to be taken care of by/to belong to/to gather together/(used between two identical verbs) despite/to marry (of a woman) (old)/division on the abacus with a one-digit divisor,to return/to go back to/to give back to/(of a responsibility) to be taken care of by/to belong to/to gather together/(used between two identical verbs) despite/to marry (of a woman) (old)/division on the abacus with a one-digit divisor
殃,殃,殃,殃,yang1,yāng,calamity,calamity
殊,殊,殊,殊,shu1,shū,different/unique/special/very/(classical) to behead/to die/to cut off/to separate/to surpass,different/unique/special/very/(classical) to behead/to die/to cut off/to separate/to surpass
殷,殷,殷,殷,Yin1,Yīn,"surname Yin/dynasty name at the end the Shang dynasty, after their move to Yinxu 殷墟 in modern Henan province","surname Yin/dynasty name at the end the Shang dynasty, after their move to Yinxu 殷墟 in modern Henan province"
殷,殷,殷,殷,yan1,yān,dark red,dark red
殷,殷,殷,殷,yin1,yīn,flourishing/abundant/earnest/hospitable,flourishing/abundant/earnest/hospitable
殷,殷,殷,殷,yin3,yǐn,roll of thunder,roll of thunder
比,比,比,比,Bi3,Bǐ,Belgium/Belgian/abbr. for 比利時|比利时[Bi3 li4 shi2],Belgium/Belgian/abbr. for 比利時|比利时[Bǐ lì shí]
比,比,比,比,bi1,bī,euphemistic variant of 屄[bi1],euphemistic variant of 屄[bī]
比,比,比,比,bi3,bǐ,"(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio","(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio"
比,比,比,比,bi4,bì,to associate with/to be near,to associate with/to be near
氏,氏,氏,氏,shi4,shì,clan name/maiden name,clan name/maiden name
氏,氏,氏,氏,zhi1,zhī,see 月氏[Yue4 zhi1] and 閼氏|阏氏[yan1 zhi1],see 月氏[Yuè zhī] and 閼氏|阏氏[yān zhī]
民,民,民,民,Min2,Mín,surname Min,surname Min
民,民,民,民,min2,mín,the people/nationality/citizen,the people/nationality/citizen
水,水,水,水,Shui3,Shuǐ,surname Shui,surname Shui
水,水,水,水,shui3,shuǐ,water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes,water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes
江,江,江,江,Jiang1,Jiāng,surname Jiang,surname Jiang
江,江,江,江,jiang1,jiāng,"river/CL:條|条[tiao2],道[dao4]","river/CL:條|条[tiáo],道[dào]"
沉,沉,沉,沉,chen1,chēn,see 黑沉沉[hei1 chen1 chen1],see 黑沉沉[hēi chēn chēn]
沉,沉,沉,沉,chen2,chén,to submerge/to immerse/to sink/to keep down/to lower/to drop/deep/profound/heavy,to submerge/to immerse/to sink/to keep down/to lower/to drop/deep/profound/heavy
沙,沙,沙,沙,Sha1,Shā,surname Sha,surname Sha
沙,沙,沙,沙,sha1,shā,granule/hoarse/raspy/sand/powder/CL:粒[li4]/abbr. for Tsar or Tsarist Russia,granule/hoarse/raspy/sand/powder/CL:粒[lì]/abbr. for Tsar or Tsarist Russia
河,河,河,河,he2,hé,"river/CL:條|条[tiao2],道[dao4]","river/CL:條|条[tiáo],道[dào]"
泉,泉,泉,泉,quan2,quán,spring (small stream)/mouth of a spring/coin (archaic),spring (small stream)/mouth of a spring/coin (archaic)
津,津,津,津,jin1,jīn,saliva/sweat/a ferry crossing/a ford (river crossing)/abbr. for Tianjin 天津,saliva/sweat/a ferry crossing/a ford (river crossing)/abbr. for Tianjin 天津
流,流,流,流,liu2,liú,"to flow/to disseminate/to circulate or spread/to move or drift/to degenerate/to banish or send into exile/stream of water or sth resembling one/class, rate or grade","to flow/to disseminate/to circulate or spread/to move or drift/to degenerate/to banish or send into exile/stream of water or sth resembling one/class, rate or grade"
浮,浮,浮,浮,fu2,fú,to float/superficial/floating/unstable/movable/provisional/temporary/transient/impetuous/hollow/inflated/to exceed/superfluous/excessive/surplus,to float/superficial/floating/unstable/movable/provisional/temporary/transient/impetuous/hollow/inflated/to exceed/superfluous/excessive/surplus
浸,浸,浸,浸,jin4,jìn,to immerse/to soak/to steep/gradually,to immerse/to soak/to steep/gradually
消,消,消,消,xiao1,xiāo,to disappear/to vanish/to eliminate/to spend (time)/have to/need,to disappear/to vanish/to eliminate/to spend (time)/have to/need
涯,涯,涯,涯,ya2,yá,border/horizon/shore,border/horizon/shore
淑,淑,淑,淑,shu1,shū,warm and virtuous/(used in given names)/Taiwan pr. [shu2],warm and virtuous/(used in given names)/Taiwan pr. [shú]
淫,淫,淫,淫,yin2,yín,excess/excessive/wanton/lewd/lascivious/obscene/depraved,excess/excessive/wanton/lewd/lascivious/obscene/depraved
深,深,深,深,shen1,shēn,deep/depth/deeply/(of a color) dark/deep/rich,deep/depth/deeply/(of a color) dark/deep/rich
淵,渊,淵,渊,yuan1,yuān,deep pool/deep/profound,deep pool/deep/profound
清,清,清,清,Qing1,Qīng,Qing or Ch'ing dynasty of Imperial China (1644-1911)/surname Qing,Qing or Ch'ing dynasty of Imperial China (1644-1911)/surname Qing
清,清,清,清,qing1,qīng,clear/distinct/quiet/just and honest/pure/to settle or clear up/to clean up or purge,clear/distinct/quiet/just and honest/pure/to settle or clear up/to clean up or purge
游,游,游,游,You2,Yóu,surname You,surname You
游,游,游,游,you2,yóu,to swim/variant of 遊|游[you2],to swim/variant of 遊|游[yóu]
湘,湘,湘,湘,Xiang1,Xiāng,abbr. for Hunan 湖南 province in south central China/abbr. for Xiangjiang river in Hunan province,abbr. for Hunan 湖南 province in south central China/abbr. for Xiangjiang river in Hunan province
源,源,源,源,yuan2,yuán,root/source/origin,root/source/origin
滋,滋,滋,滋,zi1,zī,to grow/to nourish/to increase/to cause/juice/taste/(dialect) to spout/to spurt,to grow/to nourish/to increase/to cause/juice/taste/(dialect) to spout/to spurt
滛,淫,滛,淫,yin2,yín,erroneous variant of 淫[yin2],erroneous variant of 淫[yín]
漢,汉,漢,汉,Han4,Hàn,Han ethnic group/Chinese (language)/the Han dynasty (206 BC-220 AD),Han ethnic group/Chinese (language)/the Han dynasty (206 BC-220 AD)
漢,汉,漢,汉,han4,hàn,man,man
漫,漫,漫,漫,man4,màn,free/unrestrained/to inundate,free/unrestrained/to inundate
漸,渐,漸,渐,jian1,jiān,to imbue,to imbue
漸,渐,漸,渐,jian4,jiàn,gradual/gradually,gradual/gradually
潛,潜,潛,潜,qian2,qián,hidden/secret/latent/to hide/to conceal/to submerge/to dive,hidden/secret/latent/to hide/to conceal/to submerge/to dive
潤,润,潤,润,run4,rùn,to moisten/to lubricate/to embellish/moist/glossy/sleek,to moisten/to lubricate/to embellish/moist/glossy/sleek
激,激,激,激,ji1,jī,to arouse/to incite/to excite/to stimulate/sharp/fierce/violent,to arouse/to incite/to excite/to stimulate/sharp/fierce/violent
濛,蒙,濛,蒙,meng2,méng,drizzle/mist,drizzle/mist
濱,滨,濱,滨,bin1,bīn,shore/beach/coast/bank/to border on,shore/beach/coast/bank/to border on
炎,炎,炎,炎,yan2,yán,flame/inflammation/-itis,flame/inflammation/-itis
為,为,為,为,wei2,wéi,as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/by (in the passive voice),as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/by (in the passive voice)
為,为,為,为,wei4,wèi,because of/for/to,because of/for/to
無,无,無,无,wu2,wú,not to have/no/none/not/to lack/un-/-less,not to have/no/none/not/to lack/un-/-less
然,然,然,然,ran2,rán,correct/right/so/thus/like this/-ly,correct/right/so/thus/like this/-ly
熈,熙,熈,熙,xi1,xī,variant of 熙[xi1],variant of 熙[xī]
熒,荧,熒,荧,ying2,yíng,a glimmer/glimmering/twinkling/fluorescence/phosphorescence/perplexed/dazzled and confused/planet Mars (arch.),a glimmer/glimmering/twinkling/fluorescence/phosphorescence/perplexed/dazzled and confused/planet Mars (arch.)
熙,熙,熙,熙,xi1,xī,prosperous/splendid,prosperous/splendid
燕,燕,燕,燕,Yan1,Yān,"Yan, a vassal state of Zhou in modern Hebei and Liaoning/north Hebei/the four Yan kingdoms of the Sixteen Kingdoms, namely: Former Yan 前燕 (337-370), Later Yan 後燕|后燕 (384-409), Southern Yan 南燕 (398-410), Northern Yan 北燕 (409-436)/surname Yan","Yan, a vassal state of Zhou in modern Hebei and Liaoning/north Hebei/the four Yan kingdoms of the Sixteen Kingdoms, namely: Former Yan 前燕 (337-370), Later Yan 後燕|后燕 (384-409), Southern Yan 南燕 (398-410), Northern Yan 北燕 (409-436)/surname Yan"
燕,燕,燕,燕,yan4,yàn,swallow (family Hirundinidae)/old variant of 宴[yan4],swallow (family Hirundinidae)/old variant of 宴[yàn]
爲,为,爲,为,wei2,wéi,variant of 為|为[wei2]/as (i.e. in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do,variant of 為|为[wéi]/as (i.e. in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do
爲,为,爲,为,wei4,wèi,"variant of 為|为[wei4], because of/for/to","variant of 為|为[wèi], because of/for/to"
牆,墙,牆,墙,qiang2,qiáng,"wall/CL:面[mian4],堵[du3]","wall/CL:面[miàn],堵[dǔ]"
物,物,物,物,wu4,wù,thing/object/matter/abbr. for physics 物理,thing/object/matter/abbr. for physics 物理
猶,犹,猶,犹,you2,yóu,as if/(just) like/just as/still/yet,as if/(just) like/just as/still/yet
獨,独,獨,独,du2,dú,alone/independent/single/sole/only,alone/independent/single/sole/only
玅,妙,玅,妙,miao4,miào,variant of 妙[miao4],variant of 妙[miào]
王,王,王,王,Wang2,Wáng,surname Wang,surname Wang
王,王,王,王,wang2,wáng,king or monarch/best or strongest of its type/grand/great,king or monarch/best or strongest of its type/grand/great
王,王,王,王,wang4,wàng,to rule/to reign over,to rule/to reign over
珠,珠,珠,珠,zhu1,zhū,"bead/pearl/CL:粒[li4],顆|颗[ke1]","bead/pearl/CL:粒[lì],顆|颗[kē]"
班,班,班,班,Ban1,Bān,surname Ban,surname Ban
班,班,班,班,ban1,bān,team/class/squad/work shift/ranking/CL:個|个[ge4]/classifier for groups,team/class/squad/work shift/ranking/CL:個|个[gè]/classifier for groups
理,理,理,理,li3,lǐ,texture/grain (of wood)/inner essence/intrinsic order/reason/logic/truth/science/natural science (esp. physics)/to manage/to pay attention to/to run (affairs)/to handle/to put in order/to tidy up,texture/grain (of wood)/inner essence/intrinsic order/reason/logic/truth/science/natural science (esp. physics)/to manage/to pay attention to/to run (affairs)/to handle/to put in order/to tidy up
琴,琴,琴,琴,qin2,qín,"guqin or zither, cf 古琴[gu3 qin2]/musical instrument in general","guqin or zither, cf 古琴[gǔ qín]/musical instrument in general"
琹,琴,琹,琴,qin2,qín,"variant of 琴[qin2], guqin or zither","variant of 琴[qín], guqin or zither"
璇,璇,璇,璇,xuan2,xuán,(jade),(jade)
璣,玑,璣,玑,ji1,jī,irregular pearl,irregular pearl
璿,璇,璿,璇,xuan2,xuán,variant of 璇[xuan2],variant of 璇[xuán]
生,生,生,生,sheng1,shēng,to be born/to give birth/life/to grow/raw/uncooked/student,to be born/to give birth/life/to grow/raw/uncooked/student
甦,苏,甦,苏,su1,sū,variant of 蘇|苏[su1]/to revive,variant of 蘇|苏[sū]/to revive
用,用,用,用,yong4,yòng,to use/to employ/to have to/to eat or drink/expense or outlay/usefulness/hence/therefore,to use/to employ/to have to/to eat or drink/expense or outlay/usefulness/hence/therefore
甯,宁,甯,宁,ning2,níng,variant of 寧|宁[ning2],variant of 寧|宁[níng]
異,异,異,异,yi4,yì,different/other/hetero-/unusual/strange/surprising/to distinguish/to separate/to discriminate,different/other/hetero-/unusual/strange/surprising/to distinguish/to separate/to discriminate
當,当,當,当,dang1,dāng,to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at,to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at
當,当,當,当,dang4,dàng,at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/(coll.) to fail (a student),at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/(coll.) to fail (a student)
疋,匹,疋,匹,pi3,pǐ,variant of 匹[pi3]/classifier for cloth: bolt,variant of 匹[pǐ]/classifier for cloth: bolt
疑,疑,疑,疑,yi2,yí,to doubt/to suspect,to doubt/to suspect
癈,废,癈,废,fei4,fèi,variant of 廢|废[fei4]/disabled,variant of 廢|废[fèi]/disabled
發,发,發,发,fa1,fā,to send out/to show (one's feeling)/to issue/to develop/to make a bundle of money/classifier for gunshots (rounds),to send out/to show (one's feeling)/to issue/to develop/to make a bundle of money/classifier for gunshots (rounds)
白,白,白,白,Bai2,Bái,surname Bai,surname Bai
白,白,白,白,bai2,bái,white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera,white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera
皇,皇,皇,皇,Huang2,Huáng,surname Huang,surname Huang
皇,皇,皇,皇,huang2,huáng,emperor/old variant of 惶[huang2],emperor/old variant of 惶[huáng]
盈,盈,盈,盈,ying2,yíng,full/filled/surplus,full/filled/surplus
盛,盛,盛,盛,Sheng4,Shèng,surname Sheng,surname Sheng
盛,盛,盛,盛,cheng2,chéng,to hold/to contain/to ladle/to pick up with a utensil,to hold/to contain/to ladle/to pick up with a utensil
盛,盛,盛,盛,sheng4,shèng,flourishing/vigorous/magnificent/extensively,flourishing/vigorous/magnificent/extensively
相,相,相,相,Xiang1,Xiāng,surname Xiang,surname Xiang
相,相,相,相,xiang1,xiāng,each other/one another/mutually,each other/one another/mutually
相,相,相,相,xiang4,xiàng,"appearance/portrait/picture/government minister/(physics) phase/(literary) to appraise (esp. by scrutinizing physical features)/to read sb's fortune (by physiognomy, palmistry etc)","appearance/portrait/picture/government minister/(physics) phase/(literary) to appraise (esp. by scrutinizing physical features)/to read sb's fortune (by physiognomy, palmistry etc)"
眷,眷,眷,眷,juan4,juàn,concern/wife and children,concern/wife and children
睠,眷,睠,眷,juan4,juàn,variant of 眷[juan4]/to care about/to look fondly on,variant of 眷[juàn]/to care about/to look fondly on
瞖,翳,瞖,翳,yi4,yì,variant of 翳[yi4],variant of 翳[yì]
矇,蒙,矇,蒙,meng1,mēng,to deceive/to cheat/to hoodwink/to make a wild guess,to deceive/to cheat/to hoodwink/to make a wild guess
矇,蒙,矇,蒙,meng2,méng,blind/dim-sighted,blind/dim-sighted
知,知,知,知,zhi1,zhī,to know/to be aware,to know/to be aware
碩,硕,碩,硕,shuo4,shuò,large/big,large/big
祇,只,祇,只,zhi3,zhǐ,variant of 只[zhi3],variant of 只[zhǐ]
神,神,神,神,Shen2,Shén,God/abbr. for 神舟[Shen2 zhou1],God/abbr. for 神舟[Shén zhōu]
神,神,神,神,shen2,shén,deity/soul/spirit/unusual/mysterious/lively/expressive/expression/look/CL:個|个[ge4]/(slang) awesome/amazing,deity/soul/spirit/unusual/mysterious/lively/expressive/expression/look/CL:個|个[gè]/(slang) awesome/amazing
禍,祸,禍,祸,huo4,huò,disaster/misfortune/calamity,disaster/misfortune/calamity
离,离,离,离,chi1,chī,mythical beast (archaic),mythical beast (archaic)
禽,禽,禽,禽,qin2,qín,generic term for birds and animals/birds/to capture (old),generic term for birds and animals/birds/to capture (old)
秊,年,秊,年,nian2,nián,grain/harvest (old)/variant of 年[nian2],grain/harvest (old)/variant of 年[nián]
秖,只,秖,只,zhi3,zhǐ,grain that has begun to ripen/variant of 衹|只[zhi3],grain that has begun to ripen/variant of 衹|只[zhǐ]
秦,秦,秦,秦,Qin2,Qín,surname Qin/Qin dynasty (221-207 BC) of the first emperor 秦始皇[Qin2 Shi3 huang2]/abbr. for 陝西|陕西[Shan3 xi1],surname Qin/Qin dynasty (221-207 BC) of the first emperor 秦始皇[Qín Shǐ huáng]/abbr. for 陝西|陕西[Shǎn xī]
移,移,移,移,yi2,yí,to move/to shift/to change/to alter/to remove,to move/to shift/to change/to alter/to remove
積,积,積,积,ji1,jī,to amass/to accumulate/to store/measured quantity (such as area of volume)/product (the result of multiplication)/to integrate (math.)/to solve (or integrate) an ordinary differential equation (math.)/old/long-standing,to amass/to accumulate/to store/measured quantity (such as area of volume)/product (the result of multiplication)/to integrate (math.)/to solve (or integrate) an ordinary differential equation (math.)/old/long-standing
穨,颓,穨,颓,tui2,tuí,variant of 頹|颓[tui2],variant of 頹|颓[tuí]
穹,穹,穹,穹,qiong2,qióng,vault/dome/the sky,vault/dome/the sky
空,空,空,空,kong1,kōng,empty/air/sky/in vain,empty/air/sky/in vain
空,空,空,空,kong4,kòng,to empty/vacant/unoccupied/space/leisure/free time,to empty/vacant/unoccupied/space/leisure/free time
窈,窈,窈,窈,yao3,yǎo,deep/quiet and elegant/variant of 杳[yao3],deep/quiet and elegant/variant of 杳[yǎo]
窕,窕,窕,窕,tiao3,tiǎo,"quiet and secluded/gentle, graceful, and elegant","quiet and secluded/gentle, graceful, and elegant"
章,章,章,章,Zhang1,Zhāng,surname Zhang,surname Zhang
章,章,章,章,zhang1,zhāng,chapter/section/clause/movement (of symphony)/seal/badge/regulation/order,chapter/section/clause/movement (of symphony)/seal/badge/regulation/order
端,端,端,端,duan1,duān,end/extremity/item/port/to hold sth level with both hands/to carry/regular,end/extremity/item/port/to hold sth level with both hands/to carry/regular
節,节,節,节,jie1,jiē,see 節骨眼|节骨眼[jie1 gu5 yan3],see 節骨眼|节骨眼[jiē gu yǎn]
節,节,節,节,jie2,jié,"festival/holiday/node/joint/section/segment/part/to economize/to save/to abridge/moral integrity/classifier for segments, e.g. lessons, train wagons, biblical verses/CL:個|个[ge4]","festival/holiday/node/joint/section/segment/part/to economize/to save/to abridge/moral integrity/classifier for segments, e.g. lessons, train wagons, biblical verses/CL:個|个[gè]"
篤,笃,篤,笃,du3,dǔ,serious (illness)/sincere/true,serious (illness)/sincere/true
精,精,精,精,jing1,jīng,essence/extract/vitality/energy/semen/sperm/mythical goblin spirit/highly perfected/elite/the pick of sth/proficient (refined ability)/extremely (fine)/selected rice (archaic),essence/extract/vitality/energy/semen/sperm/mythical goblin spirit/highly perfected/elite/the pick of sth/proficient (refined ability)/extremely (fine)/selected rice (archaic)
純,纯,純,纯,chun2,chún,pure/simple/unmixed/genuine,pure/simple/unmixed/genuine
紛,纷,紛,纷,fen1,fēn,numerous/confused/disorderly,numerous/confused/disorderly
終,终,終,终,zhong1,zhōng,end/finish,end/finish
綉,绣,綉,绣,xiu4,xiù,variant of 繡|绣[xiu4],variant of 繡|绣[xiù]
經,经,經,经,Jing1,Jīng,surname Jing,surname Jing
經,经,經,经,jing1,jīng,classics/sacred book/scripture/to pass through/to undergo/to bear/to endure/warp (textile)/longitude/menstruation/channel (TCM)/abbr. for economics 經濟|经济[jing1 ji4],classics/sacred book/scripture/to pass through/to undergo/to bear/to endure/warp (textile)/longitude/menstruation/channel (TCM)/abbr. for economics 經濟|经济[jīng jì]
網,网,網,网,wang3,wǎng,net/network,net/network
緐,繁,緐,繁,fan2,fán,old variant of 繁[fan2],old variant of 繁[fán]
繁,繁,繁,繁,fan2,fán,"complicated/many/in great numbers/abbr. for 繁體|繁体[fan2 ti3], traditional form of Chinese characters","complicated/many/in great numbers/abbr. for 繁體|繁体[fán tǐ], traditional form of Chinese characters"
繡,绣,繡,绣,xiu4,xiù,to embroider/embroidery,to embroider/embroidery
纏,缠,纏,缠,chan2,chán,to wind around/to wrap round/to coil/tangle/to involve/to bother/to annoy,to wind around/to wrap round/to coil/tangle/to involve/to bother/to annoy
罪,罪,罪,罪,zui4,zuì,guilt/crime/fault/blame/sin,guilt/crime/fault/blame/sin
羅,罗,羅,罗,Luo2,Luó,surname Luo,surname Luo
羅,罗,羅,罗,luo2,luó,gauze/to collect/to gather/to catch/to sift,gauze/to collect/to gather/to catch/to sift
羣,群,羣,群,qun2,qún,variant of 群[qun2],variant of 群[qún]
群,群,群,群,qun2,qún,"group/crowd/flock, herd, pack etc","group/crowd/flock, herd, pack etc"
義,义,義,义,Yi4,Yì,"surname Yi/(Tw) abbr. for 義大利|义大利[Yi4 da4 li4], Italy","surname Yi/(Tw) abbr. for 義大利|义大利[Yì dà lì], Italy"
義,义,義,义,yi4,yì,"justice/righteousness/meaning/foster (father etc)/adopted/artificial (tooth, limb etc)/relationship/friendship","justice/righteousness/meaning/foster (father etc)/adopted/artificial (tooth, limb etc)/relationship/friendship"
羽,羽,羽,羽,yu3,yǔ,feather/5th note in pentatonic scale,feather/5th note in pentatonic scale
翔,翔,翔,翔,xiang2,xiáng,to soar/to glide/variant of 詳|详[xiang2],to soar/to glide/variant of 詳|详[xiáng]
翠,翠,翠,翠,cui4,cuì,bluish-green/green jade,bluish-green/green jade
翳,翳,翳,翳,yi4,yì,feather screen/to screen/to shade/cataract,feather screen/to screen/to shade/cataract
者,者,者,者,zhe3,zhě,"(after a verb or adjective) one who (is) .../(after a noun) person involved in .../-er/-ist/(used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously)/(used after a term, to mark a pause before defining the term)/(old) (used at the end of a command)/(old) this","(after a verb or adjective) one who (is) .../(after a noun) person involved in .../-er/-ist/(used after a number or 後|后[hòu] or 前[qián] to refer to sth mentioned previously)/(used after a term, to mark a pause before defining the term)/(old) (used at the end of a command)/(old) this"
耑,专,耑,专,zhuan1,zhuān,variant of 專|专[zhuan1],variant of 專|专[zhuān]
耑,端,耑,端,duan1,duān,old variant of 端[duan1]/start/origin,old variant of 端[duān]/start/origin
聖,圣,聖,圣,sheng4,shèng,holy/sacred/saint/sage,holy/sacred/saint/sage
聞,闻,聞,闻,Wen2,Wén,surname Wen,surname Wen
聞,闻,聞,闻,wen2,wén,to hear/news/well-known/famous/reputation/fame/to smell/to sniff at,to hear/news/well-known/famous/reputation/fame/to smell/to sniff at
聲,声,聲,声,sheng1,shēng,sound/voice/tone/noise/classifier for sounds,sound/voice/tone/noise/classifier for sounds
育,育,育,育,yu4,yù,to have children/to raise or bring up/to educate,to have children/to raise or bring up/to educate
能,能,能,能,Neng2,Néng,surname Neng,surname Neng
能,能,能,能,neng2,néng,can/to be able to/might possibly/ability/(physics) energy,can/to be able to/might possibly/ability/(physics) energy
臣,臣,臣,臣,Chen2,Chén,surname Chen,surname Chen
臣,臣,臣,臣,chen2,chén,"state official or subject in dynastic China/I, your servant (used in addressing the sovereign)/Kangxi radical 131","state official or subject in dynastic China/I, your servant (used in addressing the sovereign)/Kangxi radical 131"
自,自,自,自,zi4,zì,self/oneself/from/since/naturally/surely,self/oneself/from/since/naturally/surely
至,至,至,至,zhi4,zhì,to arrive/most/to/until,to arrive/most/to/until
興,兴,興,兴,Xing1,Xīng,surname Xing,surname Xing
興,兴,興,兴,xing1,xīng,to rise/to flourish/to become popular/to start/to encourage/to get up/(often used in the negative) to permit or allow (dialect)/maybe (dialect),to rise/to flourish/to become popular/to start/to encourage/to get up/(often used in the negative) to permit or allow (dialect)/maybe (dialect)
興,兴,興,兴,xing4,xìng,feeling or desire to do sth/interest in sth/excitement,feeling or desire to do sth/interest in sth/excitement
舊,旧,舊,旧,jiu4,jiù,old/opposite: new 新/former/worn (with age),old/opposite: new 新/former/worn (with age)
艱,艰,艱,艰,jian1,jiān,difficult/hard/hardship,difficult/hard/hardship
芳,芳,芳,芳,fang1,fāng,fragrant,fragrant
苟,苟,苟,苟,Gou3,Gǒu,surname Gou,surname Gou
苟,苟,苟,苟,gou3,gǒu,if/supposing/careless/negligent/temporarily,if/supposing/careless/negligent/temporarily
若,若,若,若,ruo4,ruò,to seem/like/as/if,to seem/like/as/if
苦,苦,苦,苦,ku3,kǔ,bitter/hardship/pain/to suffer/to bring suffering to/painstakingly,bitter/hardship/pain/to suffer/to bring suffering to/painstakingly
英,英,英,英,Ying1,Yīng,United Kingdom/British/England/English/abbr. for 英國|英国[Ying1 guo2],United Kingdom/British/England/English/abbr. for 英國|英国[Yīng guó]
英,英,英,英,ying1,yīng,hero/outstanding/excellent/(literary) flower/blossom,hero/outstanding/excellent/(literary) flower/blossom
茂,茂,茂,茂,mao4,mào,luxuriant/(chemistry) cyclopentadiene,luxuriant/(chemistry) cyclopentadiene
荒,荒,荒,荒,huang1,huāng,desolate/shortage/scarce/out of practice/absurd/uncultivated/to neglect,desolate/shortage/scarce/out of practice/absurd/uncultivated/to neglect
